"","Rank","p.value","p.adj","avg.logfc","avg.logfc.dir","direction","significance"
"GO_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY",348,0.000470339795498428,0.0064779845971953,1,1,"Up",14.3608541303301
"GO_DEPHOSPHORYLATION",349,0.000482531634314165,0.00662685995205671,1,1,"Up",14.2961032432217
"GO_RESPONSE_TO_EXTERNAL_STIMULUS",350,0.000488293860735749,0.00668683564144698,1,1,"Up",14.2704279349727
"GO_TRANSPORT_VESICLE",351,0.000490746833848373,0.00670128083941668,1,1,"Up",14.2642784281555
"GO_SPINDLE_MIDZONE",352,0.000494665175924667,0.00673559712558786,1,1,"Up",14.249722531786
"GO_NEGATIVE_REGULATION_OF_PROTEIN_POLYMERIZATION",353,0.000498240710805979,0.00674595403077135,1,1,"Up",14.2453440220014
"GO_KINESIN_COMPLEX",354,0.000498240710805979,0.00674595403077135,1,1,"Up",14.2453440220014
"GO_LIPID_TRANSLOCATION",355,0.000503659428847604,0.00679184535408085,1,1,"Up",14.2260234369461
"GO_TRANSCRIPTIONAL_REPRESSOR_ACTIVITY_RNA_POLYMERASE_II_TRANSCRIPTION_REGULATORY_REGION_SEQUENCE_SPECIFIC_BINDING",356,0.000504464207396783,0.00679184535408085,1,1,"Up",14.2260234369461
"GO_CHEMICAL_HOMEOSTASIS",357,0.000513904316639875,0.00689956131556,1,1,"Up",14.1811822545829
"GO_ORGANOPHOSPHATE_METABOLIC_PROCESS",358,0.00052156012969364,0.00698278687603804,1,1,"Up",14.1470130317212
"GO_ATPASE_COUPLED_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",359,0.000527165363666557,0.00703817155446743,1,1,"Up",14.1244991542364
"GO_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS",360,0.00052933817457301,0.00704754964091233,1,1,"Up",14.1207045078558
"GO_NEURON_DIFFERENTIATION",361,0.000533151362390819,0.00707865506908364,1,1,"Up",14.1081543989928
"GO_NEGATIVE_REGULATION_OF_TRANSFERASE_ACTIVITY",362,0.000537601641014489,0.00711802393752056,1,1,"Up",14.0923490756342
"GO_PROTEIN_COMPLEX_BINDING",363,0.000549554019706578,0.00725623255221385,1,1,"Up",14.0375467220374
"GO_APICAL_PART_OF_CELL",364,0.00055217081580575,0.00727075472570594,1,1,"Up",14.0318491173699
"GO_REGULATION_OF_HOMEOSTATIC_PROCESS",365,0.000561285240104221,0.00737052097484803,1,1,"Up",13.9930119496584
"GO_MITOTIC_SPINDLE_ASSEMBLY",366,0.000569078326673492,0.00737187140471905,1,1,"Up",13.992489865911
"GO_MICROTUBULE_CYTOSKELETON_ORGANIZATION_INVOLVED_IN_MITOSIS",367,0.000569078326673492,0.00737187140471905,1,1,"Up",13.992489865911
"GO_MITOTIC_RECOMBINATION",368,0.000569078326673492,0.00737187140471905,1,1,"Up",13.992489865911
"GO_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY",369,0.000569078326673492,0.00737187140471905,1,1,"Up",13.992489865911
"GO_GROWTH_FACTOR_BINDING",370,0.000568416227312234,0.00737187140471905,1,1,"Up",13.992489865911
"GO_NEGATIVE_REGULATION_OF_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER",371,0.000579497776585063,0.00748661143712185,1,1,"Up",13.9484764336831
"GO_IRE1_MEDIATED_UNFOLDED_PROTEIN_RESPONSE",372,0.000592644581980378,0.00763587495008589,1,1,"Up",13.8922189033247
"GO_NUCLEAR_ENVELOPE",373,0.000605184071844953,0.00777653419933743,1,1,"Up",13.8402018284732
